Date,Open,High,Low,Close,action,RSI,portfolio_value
2022-12-28 00:00:00-05:00,128.32,129.67,124.56,124.73,none,26.179702650290892,1475986.139620391
2022-12-29 00:00:00-05:00,126.66,129.12,126.4,128.26,none,30.30210558437595,1517705.9611755866
2022-12-30 00:00:00-05:00,127.07,128.6,126.1,128.58,none,31.441717791411065,1521487.9280021202
2023-01-03 00:00:00-05:00,128.92,129.54,122.88,123.77,buy,22.621082621082635,1464640.239140791
2023-01-04 00:00:00-05:00,125.57,127.32,123.78,125.05,none,23.29850324767017,1479768.1064469242
2023-01-05 00:00:00-05:00,125.81,126.44,123.46,123.72,none,23.91304347826089,1464049.306824145
2023-01-06 00:00:00-05:00,124.7,128.93,123.59,128.27,none,39.49398333847579,1517824.147638916
2023-01-09 00:00:00-05:00,129.11,132.02,128.54,128.8,none,43.041653212786585,1524088.030195362
2023-01-10 00:00:00-05:00,128.9,129.89,126.79,129.37,none,47.246770904146835,1530824.6586051243
2023-01-11 00:00:00-05:00,129.88,132.12,129.1,132.1,none,51.839152119700756,1563089.5630939866
2023-01-12 00:00:00-05:00,132.49,132.86,130.07,132.02,none,46.52203856749314,1562144.0713873536
2023-01-13 00:00:00-05:00,130.66,133.52,130.29,133.36,none,54.61566752482534,1577981.0574734618
2023-01-17 00:00:00-05:00,133.43,135.86,132.73,134.53,none,57.2142857142857,1591808.8736829741
2023-01-18 00:00:00-05:00,135.4,137.17,133.62,133.8,none,59.50965824665678,1583181.2618599453
2023-01-19 00:00:00-05:00,132.68,134.83,132.38,133.86,none,69.82197134172822,1583890.3806399202
2023-01-20 00:00:00-05:00,133.87,136.58,132.82,136.44,none,68.52355072463772,1614382.488178845
2023-01-23 00:00:00-05:00,136.68,141.83,136.46,139.64,none,72.1554487179487,1652202.1564441782
2023-01-24 00:00:00-05:00,138.85,141.67,138.84,141.05,sell,90.07421150278304,1667081.3594314675
2023-01-25 00:00:00-05:00,139.42,140.95,137.37,140.38,none,86.58711217183775,1667081.3594314675
2023-01-26 00:00:00-05:00,141.68,142.75,140.42,142.46,none,93.17972350230418,1667081.3594314675
2023-01-27 00:00:00-05:00,141.67,145.7,141.59,144.41,none,92.2513089005236,1667081.3594314675
2023-01-30 00:00:00-05:00,143.45,144.04,141.36,141.51,none,79.59944108057755,1667081.3594314675
2023-01-31 00:00:00-05:00,141.21,142.84,140.8,142.79,none,80.25247971145176,1667081.3594314675
2023-02-01 00:00:00-05:00,142.47,145.08,139.85,143.92,none,78.71720116618076,1667081.3594314675
2023-02-02 00:00:00-05:00,147.35,149.61,146.63,149.25,none,83.3526906697638,1667081.3594314675
2023-02-03 00:00:00-05:00,146.49,155.74,146.29,152.89,none,84.71382865268393,1667081.3594314675
2023-02-06 00:00:00-05:00,150.98,151.51,149.21,150.15,none,76.2962962962963,1667081.3594314675
2023-02-07 00:00:00-05:00,149.07,153.61,149.07,153.04,none,80.19460138104205,1667081.3594314675
2023-02-08 00:00:00-05:00,152.28,152.97,149.6,150.34,none,73.8840579710145,1667081.3594314675
2023-02-09 00:00:00-05:00,152.18,152.72,148.85,149.3,none,69.5084951456311,1667081.3594314675
2023-02-10 00:00:00-05:00,148.13,149.99,147.89,149.67,none,66.64454032525722,1667081.3594314675
2023-02-13 00:00:00-05:00,149.61,152.89,149.58,152.48,none,68.1255946717412,1667081.3594314675
2023-02-14 00:00:00-05:00,150.77,152.4,149.52,151.84,none,68.19047619047625,1667081.3594314675
2023-02-15 00:00:00-05:00,151.75,154.12,151.52,153.95,none,68.22074215033305,1667081.3594314675
2023-02-16 00:00:00-05:00,152.14,154.94,151.99,152.34,none,62.71240782302026,1667081.3594314675
2023-02-17 00:00:00-05:00,150.99,151.64,149.51,151.19,none,66.44021739130443,1667081.3594314675
2023-02-21 00:00:00-05:00,148.86,149.95,147.09,147.16,none,56.78782230506371,1667081.3594314675
2023-02-22 00:00:00-05:00,147.55,148.62,145.85,147.59,none,55.82724674499845,1667081.3594314675
2023-02-23 00:00:00-05:00,148.75,149.0,145.93,148.07,none,47.78528528528526,1667081.3594314675
2023-02-24 00:00:00-05:00,145.8,145.88,144.42,145.4,none,35.41098558628747,1667081.3594314675
2023-02-27 00:00:00-05:00,146.4,147.84,146.14,146.6,none,42.644011603812615,1667081.3594314675
2023-02-28 00:00:00-05:00,145.74,147.75,145.52,146.1,none,34.03863845446175,1667081.3594314675
2023-03-01 00:00:00-05:00,145.52,145.92,143.72,144.02,none,35.037878787878725,1667081.3594314675
2023-03-02 00:00:00-05:00,143.1,145.4,142.62,144.61,none,38.65505563618766,1667081.3594314675
2023-03-03 00:00:00-05:00,146.72,149.77,146.02,149.69,none,50.0394011032309,1667081.3594314675
2023-03-06 00:00:00-05:00,152.42,154.91,152.09,152.46,none,49.960536700868225,1667081.3594314675
2023-03-07 00:00:00-05:00,152.33,152.66,149.79,150.25,none,47.04570791527312,1667081.3594314675
2023-03-08 00:00:00-05:00,151.45,152.1,150.48,151.51,none,45.3184957789716,1667081.3594314675
2023-03-09 00:00:00-05:00,152.19,153.17,148.89,149.25,none,44.215649569449624,1667081.3594314675
2023-03-10 00:00:00-05:00,148.87,149.6,146.3,147.18,none,42.74339486065871,1667081.3594314675
2023-03-13 00:00:00-04:00,146.5,151.78,146.39,149.13,none,53.85518590998044,1667081.3594314675
2023-03-14 00:00:00-04:00,149.93,152.04,148.76,151.23,none,56.68626010286554,1667081.3594314675
2023-03-15 00:00:00-04:00,149.85,151.89,148.59,151.63,none,56.55858511422257,1667081.3594314675
